14:12:48.185 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:12:48.187 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:12:48.188 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
14:12:48.240 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
14:12:48.245 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
14:12:49.035 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:12:49.096 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52 ms. Found 1 JPA repository interfaces.
14:12:49.711 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:12:49.785 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1540 ms
14:12:50.069 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
14:12:51.454 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:12:52.075 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:12:53.278 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:12:53.328 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:12:53.340 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 5.708 seconds (process running for 6.591)
14:13:08.476 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:13:08.478 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
14:13:08.679 [http-nio-8080-exec-1] INFO  c.d.p.i.logger.LoggerAdapter - Pessoa de nome Douglas Silva e id 69 criada!
14:13:40.699 [http-nio-8080-exec-3] INFO  c.d.p.i.logger.LoggerAdapter - Pessoa de nome Douglas Ferreira e id 70 criada!
14:14:30.852 [http-nio-8080-exec-3] INFO  c.d.p.i.logger.LoggerAdapter - Pessoa de nome Douglas Silva e id 69 deletada!
14:15:14.673 [http-nio-8080-exec-4] INFO  c.d.p.i.logger.LoggerAdapter - Pessoa de nome Marta Marciel e id 70 editada!
14:17:23.941 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
